
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.3563715E+05   0.1887781E+03   0.3004496E+02   0.0000000E+00
      2   0.7550441E+05   0.2747807E+03   0.4373270E+02   0.0000000E+00
      3   0.7571871E+05   0.2751703E+03   0.4379472E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1442359E-02   0.7207880E+02   0.7207641E+02   0.2706132E+03  -0.5322890E+03   0.5322934E+03
      2  -0.1360943E+02  -0.1668317E+00   0.1231569E+00  -0.8135807E-01   0.3807314E+02   0.3906141E+02
      3   0.4946448E+01   0.4752171E-01   0.3498179E-01   0.1541981E+00  -0.1365860E+02  -0.1549351E+02

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.2080399E-05   0.5195354E+04   0.5195009E+04   0.7323148E+05   0.2833316E+06   0.2833362E+06
      2   0.1852165E+03   0.2783282E-01   0.1516761E-01   0.6619136E-02   0.1449564E+04   0.1525793E+04
      3   0.2446735E+02   0.2258313E-02   0.1223725E-02   0.2377706E-01   0.1865575E+03   0.2400490E+03
TOTAL     0.2096838E+03   0.5195384E+04   0.5195025E+04   0.7323151E+05   0.2849678E+06   0.2851021E+06

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3047503E+05   0.2999916E+05   0.3000026E+05   0.6341922E+06   0.1242840E+07   0.1242812E+07

